taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	confidence	label	dominant_habitat
d69f156479cb1468a89b299bad9218ac	Bacteria	Chloroflexi						0.9641051145011311	Chloroflexi	No abundance
ef87e8a8dea72fedaa227d707dc23065	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae			0.9607089312182125	Planctomycetes	No abundance
db9dfdf9481c45ab02357bee59ea1254	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41				0.9986065888915729	Verrucomicrobia	No abundance
a03057bef0db8ff4e322e02d566f5b57	Bacteria	Chloroflexi	Anaerolineae	S0208				0.9999397350017489	Chloroflexi	No abundance
71899c80932d3f43cb9ab54d52092612	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae			0.9782585728492198	Proteobacteria	No abundance
f553fd780f7871b9f14b73d997d99168	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae			0.8881558116568419	Proteobacteria	No abundance
3cffaa1dcc29c2b830abb84f993d2812	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				0.9931757669377014	Proteobacteria	No abundance
17cae4532c94ca57de4bd7568efa533e	Bacteria	Chloroflexi						0.9431819048538815	Chloroflexi	No abundance
a28c38f71355aca54e1975332ad3f780	Bacteria	OP3	BD4-9					0.9971227129159006	OP3	No abundance
3e9d063a6732993db4d8707083a2a04b	Bacteria	Acidobacteria	Acidobacteria-6	CCU21				0.9976509399789771	Acidobacteria	No abundance
59157b8db2b0c3722a41ed9cf693e3f2	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales				0.9476993565215674	Bacteroidetes	No abundance
be28da3d4f288538d08180a68aa0fc8d	Bacteria	Planctomycetes	Phycisphaerae	mle1-8				0.9997714006293796	Planctomycetes	No abundance
6ecf2a3a94ce143a446dedffa39fc28c	Bacteria							0.8738709789946802	6ecf2a3a	No abundance
2cc93c881c3cdd1d30d840c2baed89d3	Bacteria	Verrucomicrobia	Verruco-5	LD1-PB3				0.9999350208348705	Verrucomicrobia	No abundance
