feature_id	contrast	lfc	significance	label	Kingdom	Phylum	neg_log10_qval
Bacteria;Verrucomicrobia	habitatSediment	0.4838817173124479	0.15103899954742203	Verrucomicrobia	Bacteria	Verrucomicrobia	0.8209108997175701
Bacteria;Candidatus_Saccharibacteria	habitatSediment	-2.4954461631624962	2.8843125347279167e-38	Candidatus_Saccharibacteria	Bacteria	Candidatus_Saccharibacteria	37.539957682664905
Archaea;Crenarchaeota	habitatSediment	6.755128126567503	7.667485448824138e-290	Crenarchaeota	Archaea	Crenarchaeota	289.1153470395387
Bacteria;Parcubacteria	habitatSediment	-5.41624490940139	7.96517912324439e-179	Parcubacteria	Bacteria	Parcubacteria	178.09880445321352
Bacteria;Aminicenantes	habitatSediment	5.872646713397865	7.763363420723264e-249	Aminicenantes	Bacteria	Aminicenantes	248.1099500830469
Bacteria;Latescibacteria	habitatSediment	4.787659271364715	1.973600810788649e-160	Latescibacteria	Bacteria	Latescibacteria	159.70474068510276
Bacteria;Armatimonadetes	habitatSediment	3.7279259661815143	3.8889229509656334e-98	Armatimonadetes	Bacteria	Armatimonadetes	97.41017066119863
Archaea;Woesearchaeota	habitatSediment	-3.615850536407378	1.4160306379530546e-38	Woesearchaeota	Archaea	Woesearchaeota	37.84892734993015
Bacteria;BRC1	habitatSediment	-1.0475652912399016	2.5565363384854867e-8	BRC1	Bacteria	BRC1	7.592348029852536
Bacteria;Nitrospirae	habitatSediment	1.1379176963115734	1.0565736005746139e-37	Nitrospirae	Bacteria	Nitrospirae	36.97610024474505
Archaea;Pacearchaeota	habitatSediment	-2.3006173866430792	1.298493713650031e-8	Pacearchaeota	Archaea	Pacearchaeota	7.886560148563528
Archaea;Euryarchaeota	habitatSediment	0.12931586528259786	1.0	Euryarchaeota	Archaea	Euryarchaeota	-0.0
Bacteria;Campilobacterota	habitatSediment	-2.146335072626905	0.011084144008038671	Campilobacterota	Bacteria	Campilobacterota	1.9552978403879777
Archaea;Diapherotrites	habitatSediment	-4.245827328859991	1.80494056461135e-28	Diapherotrites	Archaea	Diapherotrites	27.74353709452636
Bacteria;Spirochaetes	habitatSediment	4.158718828406971	2.5177369422833755e-87	Spirochaetes	Bacteria	Spirochaetes	86.59898964773204
Bacteria;Fusobacteria	habitatSediment	-1.0475652912399023	2.5565363384854867e-8	Fusobacteria	Bacteria	Fusobacteria	7.592348029852536
Bacteria;Hydrogenedentes	habitatSediment	2.6942358353333686	1.3786415583500444e-53	Hydrogenedentes	Bacteria	Hydrogenedentes	52.860548634089284
Bacteria;Deferribacteres	habitatSediment	3.117559593818399	8.314644845242984e-54	Deferribacteres	Bacteria	Deferribacteres	53.08015629666038
