sample_id	Habitat	Kingdom	Phylum	Class	Order	Family	Genus	abundance
SRR10070130	Riverwater	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Unclassified	0.00037728137330419884
SRR10070130	Riverwater	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0.02343860531652335
SRR10070130	Riverwater	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	0.015106974989388962
SRR10070130	Riverwater	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	0.0007545627466083977
SRR10070130	Riverwater	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Unclassified	0.0003458412588621823
SRR10070130	Riverwater	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	0.001273324634901671
SRR10070130	Riverwater	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	0.019650071526260356
SRR10070130	Riverwater	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	0.0020278873815100687
SRR10070130	Riverwater	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Aquihabitans	0.0008803232043764639
SRR10070130	Riverwater	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	Unclassified	Unclassified	0.0019178469809630107
SRR10070130	Riverwater	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0.000047160171663024855
SRR10070130	Riverwater	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	0.0006759624605033563
SRR10070130	Riverwater	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Unclassified	Unclassified	0.00017292062943109114
SRR10070130	Riverwater	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	0.03711505509880056
SRR10070130	Riverwater	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Daejeonella	0.0002043607438731077
SRR10070130	Riverwater	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified	0.0020750475531730937
SRR10070130	Riverwater	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Unclassified	0.001163284234354613
SRR10070130	Riverwater	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	0.0009746435477025136
SRR10070130	Riverwater	Bacteria	Firmicutes	Clostridia	Clostridiales	Unclassified	Unclassified	0.0002672409727571408
SRR10070130	Riverwater	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	0.010233757250876394
SRR10070130	Riverwater	Bacteria	Acidobacteria	Acidobacteria_Gp17	Gp17	Unclassified	Unclassified	0.000770282803829406
SRR10070130	Riverwater	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	0.0009589234904815053
SRR10070130	Riverwater	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Unclassified	Unclassified	0.00044016160218823195
SRR10070130	Riverwater	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified	0.005895021457878106
