sample_id	taxon	rank	abundance	lineage	habitat
SRR10070132	""	Class	0.0017482517482517483	Bacteria;Parcubacteria;	Groundwater
SRR10070132	Anaerolineae	Class	0.0	Bacteria;Chloroflexi;Anaerolineae	Groundwater
SRR10070132	Acidobacteria_Gp1	Class	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp1	Groundwater
SRR10070132	Thermoprotei	Class	0.0	Archaea;Crenarchaeota;Thermoprotei	Groundwater
SRR10070132	Acidobacteria_Gp4	Class	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp4	Groundwater
SRR10070132	Flavobacteriia	Class	0.0013644891693672181	Bacteria;Bacteroidetes;Flavobacteriia	Groundwater
SRR10070132	Caldilineae	Class	0.0	Bacteria;Chloroflexi;Caldilineae	Groundwater
SRR10070132	Spartobacteria	Class	0.0007248848712263346	Bacteria;Verrucomicrobia;Spartobacteria	Groundwater
SRR10070132	""	Class	0.018122121780658366	Bacteria;Candidatus_Saccharibacteria;	Groundwater
SRR10070132	Subdivision3	Class	0.0	Bacteria;Verrucomicrobia;Subdivision3	Groundwater
SRR10070132	Opitutae	Class	0.007163568139177895	Bacteria;Verrucomicrobia;Opitutae	Groundwater
SRR10070132	Gemmatimonadetes	Class	0.003283302063789869	Bacteria;Gemmatimonadetes;Gemmatimonadetes	Groundwater
SRR10070132	Rubrobacteria	Class	0.00029848200579907897	Bacteria;Actinobacteria;Rubrobacteria	Groundwater
SRR10070132	""	Class	0.0022172949002217295	Archaea;;	Groundwater
SRR10070132	""	Class	0.0	Bacteria;Bacteroidetes;	Groundwater
SRR10070132	""	Class	0.0	Bacteria;candidate_division_WPS-1;	Groundwater
SRR10070132	""	Class	0.0029421797714480643	Bacteria;Firmicutes;	Groundwater
SRR10070132	Ignavibacteria	Class	0.00021320143271362784	Bacteria;Ignavibacteriae;Ignavibacteria	Groundwater
SRR10070132	Acidobacteria_Gp17	Class	0.0021320143271362784	Bacteria;Acidobacteria;Acidobacteria_Gp17	Groundwater
SRR10070132	""	Class	0.00260105747910626	Bacteria;Chloroflexi;	Groundwater
SRR10070132	Clostridia	Class	0.01654443117857752	Bacteria;Firmicutes;Clostridia	Groundwater
SRR10070132	Nitrososphaerales	Class	0.017951560634487464	Archaea;Thaumarchaeota;Nitrososphaerales	Groundwater
SRR10070132	Acidobacteria_Gp18	Class	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp18	Groundwater
SRR10070132	Bacteroidia	Class	0.0	Bacteria;Bacteroidetes;Bacteroidia	Groundwater
SRR10070132	Sphingobacteriia	Class	0.0008954460173972369	Bacteria;Bacteroidetes;Sphingobacteriia	Groundwater
SRR10070132	Planctomycetacia	Class	0.0010660071635681392	Bacteria;Planctomycetes;Planctomycetacia	Groundwater
SRR10070132	Actinobacteria	Class	0.016118028313150266	Bacteria;Actinobacteria;Actinobacteria	Groundwater
SRR10070132	Thermoleophilia	Class	0.0006822445846836091	Bacteria;Actinobacteria;Thermoleophilia	Groundwater
SRR10070132	Acidobacteria_Gp22	Class	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp22	Groundwater
SRR10070132	Acidobacteria_Gp6	Class	0.006950366706464268	Bacteria;Acidobacteria;Acidobacteria_Gp6	Groundwater
SRR10070132	Acidimicrobiia	Class	0.0	Bacteria;Actinobacteria;Acidimicrobiia	Groundwater
SRR10070132	Deltaproteobacteria	Class	0.006182841548695207	Bacteria;Proteobacteria;Deltaproteobacteria	Groundwater
SRR10070132	Acidobacteria_Gp5	Class	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp5	Groundwater
SRR10070132	Cytophagia	Class	0.0036670646426743988	Bacteria;Bacteroidetes;Cytophagia	Groundwater
SRR10070132	Betaproteobacteria	Class	0.3504178748081187	Bacteria;Proteobacteria;Betaproteobacteria	Groundwater
SRR10070132	Chitinophagia	Class	0.004946273238956166	Bacteria;Bacteroidetes;Chitinophagia	Groundwater
SRR10070132	Alphaproteobacteria	Class	0.02336687702541361	Bacteria;Proteobacteria;Alphaproteobacteria	Groundwater
SRR10070132	""	Class	0.0055858775370970495	Bacteria;Proteobacteria;	Groundwater
SRR10070132	""	Class	0.0787139689578714	Bacteria;;	Groundwater
SRR10070132	""	Family	0.006950366706464268	Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6;	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp1;Acidipila;	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Planctomycetes;Planctomycetacia;;	Groundwater
SRR10070132	Brucellaceae	Family	0.0031980214907044177	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae	Groundwater
SRR10070132	Ferrovaceae	Family	0.0	Bacteria;Proteobacteria;Betaproteobacteria;Ferrovales;Ferrovaceae	Groundwater
SRR10070132	Acidithiobacillaceae	Family	0.0	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae	Groundwater
SRR10070132	Amorphaceae	Family	0.0016203308886235715	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Amorphaceae	Groundwater
SRR10070132	Oceanospirillaceae	Family	0.0	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae	Groundwater
SRR10070132	Francisellaceae	Family	0.0	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Francisellaceae	Groundwater
SRR10070132	Kaistiaceae	Family	0.0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Kaistiaceae	Groundwater
SRR10070132	""	Family	0.0010233668770254136	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp1;Candidatus_Koribacter;	Groundwater
SRR10070132	Eubacteriaceae	Family	0.0	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae	Groundwater
SRR10070132	Granulosicoccaceae	Family	0.0	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Granulosicoccaceae	Groundwater
SRR10070132	""	Family	0.0011512877366535903	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;	Groundwater
SRR10070132	Vicinamibacteraceae	Family	0.0	Bacteria;Acidobacteria;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae	Groundwater
SRR10070132	Burkholderiales_incertae_sedis	Family	0.0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis	Groundwater
SRR10070132	Methanobacteriaceae	Family	0.0	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	Groundwater
SRR10070132	Selenomonadaceae	Family	0.0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae	Groundwater
SRR10070132	Alicyclobacillaceae	Family	0.0	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae	Groundwater
SRR10070132	Stellaceae	Family	0.0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Stellaceae	Groundwater
SRR10070132	Methanoregulaceae	Family	0.0	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae	Groundwater
SRR10070132	Cryomorphaceae	Family	0.0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae	Groundwater
SRR10070132	Geodermatophilaceae	Family	0.0	Bacteria;Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae	Groundwater
SRR10070132	Methanotrichaceae	Family	0.0	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae	Groundwater
SRR10070132	Neisseriaceae	Family	0.0	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp2;Gp2;	Groundwater
SRR10070132	Saprospiraceae	Family	0.0	Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Verrucomicrobia;Opitutae;;	Groundwater
SRR10070132	Rhodospirillaceae	Family	0.0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;	Groundwater
SRR10070132	Marinilabiliaceae	Family	0.0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae	Groundwater
SRR10070132	Parviterribacteraceae	Family	0.0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae	Groundwater
SRR10070132	Thermoguttaceae	Family	0.0	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Thermoguttaceae	Groundwater
SRR10070132	Planococcaceae	Family	0.0	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	Groundwater
SRR10070132	Nannocystaceae	Family	0.0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae	Groundwater
SRR10070132	Erwiniaceae	Family	0.0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	Groundwater
SRR10070132	Erythrobacteraceae	Family	0.0005969640115981579	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	Groundwater
SRR10070132	Pseudonocardiaceae	Family	0.0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	Groundwater
SRR10070132	Kofleriaceae	Family	0.0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae	Groundwater
SRR10070132	Anaeromyxobacteraceae	Family	0.0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Anaeromyxobacteraceae	Groundwater
SRR10070132	""	Family	0.0	Bacteria;Acidobacteria;Acidobacteria_Gp10;Gp10;	Groundwater
SRR10070132	Caulobacteraceae	Family	0.0035391437830462223	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	Groundwater
SRR10070132	Methanomassiliicoccaceae	Family	0.0015350503155381204	Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae	Groundwater
SRR10070132	Halieaceae	Family	0.0	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae	Groundwater
SRR10070132	Beijerinckiaceae	Family	0.0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	Groundwater
SRR10070132	Thiobacillaceae	Family	0.0	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae	Groundwater
SRR10070132	Propionibacteriaceae	Family	0.00972198533174143	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae	Groundwater
SRR10070132	Arcobacteraceae	Family	0.015521064301552107	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae	Groundwater
