feature_id	effect_size	significance	label	category	contrast	Kingdom	Phylum	neg_log10_qval	significant
Bacteria;Firmicutes	-1.011520431203699	1.342814798576243e-7	Firmicutes	habitatSediment	habitatSediment	Bacteria	Firmicutes	6.871983881227579	true
Bacteria;Chloroflexi	3.222550600827465	5.627770633665246e-10	Chloroflexi	habitatSediment	habitatSediment	Bacteria	Chloroflexi	9.249663611053107	true
Bacteria;Ignavibacteriae	2.3939875704506157	4.6409056915126086e-6	Ignavibacteriae	habitatSediment	habitatSediment	Bacteria	Ignavibacteriae	5.333397256849624	true
Bacteria;candidate_division_WPS-1	2.0224148060783786	2.5813144434321408e-17	candidate_division_WPS-1	habitatSediment	habitatSediment	Bacteria	candidate_division_WPS-1	16.58815908854815	true
Archaea;	0.8608746582637021	0.0005544777237117469	Unclassified	habitatSediment	habitatSediment	Archaea	Unclassified	3.256115897059276	true
Bacteria;Gemmatimonadetes	-0.044676126629352275	1.0	Gemmatimonadetes	habitatSediment	habitatSediment	Bacteria	Gemmatimonadetes	-0.0	false
Bacteria;Verrucomicrobia	0.4838817173124479	0.15103899954742203	Verrucomicrobia	habitatSediment	habitatSediment	Bacteria	Verrucomicrobia	0.8209108997175701	false
Bacteria;Candidatus_Saccharibacteria	-2.4954461631624962	2.8843125347279167e-38	Candidatus_Saccharibacteria	habitatSediment	habitatSediment	Bacteria	Candidatus_Saccharibacteria	37.539957682664905	true
Archaea;Crenarchaeota	6.755128126567503	7.667485448824138e-290	Crenarchaeota	habitatSediment	habitatSediment	Archaea	Crenarchaeota	289.1153470395387	true
Bacteria;Parcubacteria	-5.41624490940139	7.96517912324439e-179	Parcubacteria	habitatSediment	habitatSediment	Bacteria	Parcubacteria	178.09880445321352	true
Bacteria;Aminicenantes	5.872646713397865	7.763363420723264e-249	Aminicenantes	habitatSediment	habitatSediment	Bacteria	Aminicenantes	248.1099500830469	true
Bacteria;Latescibacteria	4.787659271364715	1.973600810788649e-160	Latescibacteria	habitatSediment	habitatSediment	Bacteria	Latescibacteria	159.70474068510276	true
Bacteria;Armatimonadetes	3.7279259661815143	3.8889229509656334e-98	Armatimonadetes	habitatSediment	habitatSediment	Bacteria	Armatimonadetes	97.41017066119863	true
Archaea;Woesearchaeota	-3.615850536407378	1.4160306379530546e-38	Woesearchaeota	habitatSediment	habitatSediment	Archaea	Woesearchaeota	37.84892734993015	true
Bacteria;BRC1	-1.0475652912399016	2.5565363384854867e-8	BRC1	habitatSediment	habitatSediment	Bacteria	BRC1	7.592348029852536	true
Bacteria;Nitrospirae	1.1379176963115734	1.0565736005746139e-37	Nitrospirae	habitatSediment	habitatSediment	Bacteria	Nitrospirae	36.97610024474505	true
Archaea;Pacearchaeota	-2.3006173866430792	1.298493713650031e-8	Pacearchaeota	habitatSediment	habitatSediment	Archaea	Pacearchaeota	7.886560148563528	true
Archaea;Euryarchaeota	0.12931586528259786	1.0	Euryarchaeota	habitatSediment	habitatSediment	Archaea	Euryarchaeota	-0.0	false
Bacteria;Campilobacterota	-2.146335072626905	0.011084144008038671	Campilobacterota	habitatSediment	habitatSediment	Bacteria	Campilobacterota	1.9552978403879777	true
Archaea;Diapherotrites	-4.245827328859991	1.80494056461135e-28	Diapherotrites	habitatSediment	habitatSediment	Archaea	Diapherotrites	27.74353709452636	true
Bacteria;Spirochaetes	4.158718828406971	2.5177369422833755e-87	Spirochaetes	habitatSediment	habitatSediment	Bacteria	Spirochaetes	86.59898964773204	true
Bacteria;Fusobacteria	-1.0475652912399023	2.5565363384854867e-8	Fusobacteria	habitatSediment	habitatSediment	Bacteria	Fusobacteria	7.592348029852536	true
Bacteria;Hydrogenedentes	2.6942358353333686	1.3786415583500444e-53	Hydrogenedentes	habitatSediment	habitatSediment	Bacteria	Hydrogenedentes	52.860548634089284	true
Bacteria;Deferribacteres	3.117559593818399	8.314644845242984e-54	Deferribacteres	habitatSediment	habitatSediment	Bacteria	Deferribacteres	53.08015629666038	true
Bacteria;Lentisphaerae	-1.4137693874626054	0.0008617043488991709	Lentisphaerae	habitatSediment	habitatSediment	Bacteria	Lentisphaerae	3.064641715226475	true
Bacteria;Proteobacteria	-0.5541550532136895	0.005674397477213575	Proteobacteria	habitatSoil	habitatSoil	Bacteria	Proteobacteria	2.2460802462429292	true
Bacteria;	-0.9375830304396131	0.01981487549229331	Unclassified	habitatSoil	habitatSoil	Bacteria	Unclassified	1.7030086522311216	true
Bacteria;Bacteroidetes	1.50145470588276	1.160555813712918e-6	Bacteroidetes	habitatSoil	habitatSoil	Bacteria	Bacteroidetes	5.935333968517277	true
Bacteria;Acidobacteria	3.5288420988026172	5.950042250641033e-50	Acidobacteria	habitatSoil	habitatSoil	Bacteria	Acidobacteria	49.225479950379835	true
Bacteria;Actinobacteria	3.0895594887326023	4.480665056710125e-10	Actinobacteria	habitatSoil	habitatSoil	Bacteria	Actinobacteria	9.348657519702074	true
Bacteria;Planctomycetes	2.8269167032167943	1.9809010772149796e-9	Planctomycetes	habitatSoil	habitatSoil	Bacteria	Planctomycetes	8.70313721183771	true
Archaea;Thaumarchaeota	1.1326769311911322	0.00014726868254653666	Thaumarchaeota	habitatSoil	habitatSoil	Archaea	Thaumarchaeota	3.831889598325634	true
Bacteria;Firmicutes	0.5453175556571165	0.09376173616167154	Firmicutes	habitatSoil	habitatSoil	Bacteria	Firmicutes	1.0279743595336133	false
Bacteria;Chloroflexi	2.4043141242341135	0.00003475328114905811	Chloroflexi	habitatSoil	habitatSoil	Bacteria	Chloroflexi	4.459004186249124	true
Bacteria;Ignavibacteriae	-2.9927030277993736	1.4925027853564212e-9	Ignavibacteriae	habitatSoil	habitatSoil	Bacteria	Ignavibacteriae	8.826084849703589	true
Bacteria;candidate_division_WPS-1	5.7795127101323365	1.0071260934482177e-202	candidate_division_WPS-1	habitatSoil	habitatSoil	Bacteria	candidate_division_WPS-1	201.9969161518292	true
Archaea;	-4.103732990828257	3.2991930913678403e-72	Unclassified	habitatSoil	habitatSoil	Archaea	Unclassified	71.4815922658243	true
Bacteria;Gemmatimonadetes	1.5605229940919758	4.410886844050507e-24	Gemmatimonadetes	habitatSoil	habitatSoil	Bacteria	Gemmatimonadetes	23.355474083376617	true
Bacteria;Verrucomicrobia	2.9607083361340165	5.380794011602236e-37	Verrucomicrobia	habitatSoil	habitatSoil	Bacteria	Verrucomicrobia	36.269153633364546	true
Bacteria;Candidatus_Saccharibacteria	-2.335250071115414	2.517786989789236e-9	Candidatus_Saccharibacteria	habitatSoil	habitatSoil	Bacteria	Candidatus_Saccharibacteria	8.598981014924046	true
Archaea;Crenarchaeota	0.005685302304343898	1.0	Crenarchaeota	habitatSoil	habitatSoil	Archaea	Crenarchaeota	-0.0	false
Bacteria;Parcubacteria	-4.362994315857144	4.474728195707283e-102	Parcubacteria	habitatSoil	habitatSoil	Bacteria	Parcubacteria	101.34923333949656	true
Bacteria;Aminicenantes	0.0056853023043449405	1.0	Aminicenantes	habitatSoil	habitatSoil	Bacteria	Aminicenantes	-0.0	false
Bacteria;Latescibacteria	0.005685302304344487	1.0	Latescibacteria	habitatSoil	habitatSoil	Bacteria	Latescibacteria	-0.0	false
Bacteria;Armatimonadetes	5.5894338565749955	1.3863069695369849e-188	Armatimonadetes	habitatSoil	habitatSoil	Bacteria	Armatimonadetes	187.85814059337864	true
Archaea;Woesearchaeota	-6.034783499943902	1.5887307603749188e-102	Woesearchaeota	habitatSoil	habitatSoil	Archaea	Woesearchaeota	101.79894969573839	true
Bacteria;BRC1	3.5036644139235897	1.520553942231798e-40	BRC1	habitatSoil	habitatSoil	Bacteria	BRC1	39.81799816848396	true
Bacteria;Nitrospirae	1.145617382103578	7.803770370147663e-13	Nitrospirae	habitatSoil	habitatSoil	Bacteria	Nitrospirae	12.107695518422188	true
Archaea;Pacearchaeota	-4.410629672932453	8.40790756831523e-71	Pacearchaeota	habitatSoil	habitatSoil	Archaea	Pacearchaeota	70.07531207133654	true
Archaea;Euryarchaeota	-1.6295732075541831	4.715832793096739e-13	Euryarchaeota	habitatSoil	habitatSoil	Archaea	Euryarchaeota	12.326441601864222	true
Bacteria;Campilobacterota	-4.779244537296107	4.715832793096739e-13	Campilobacterota	habitatSoil	habitatSoil	Bacteria	Campilobacterota	12.326441601864222	true
Archaea;Diapherotrites	-3.1925767353157455	4.778171216129113e-15	Diapherotrites	habitatSoil	habitatSoil	Archaea	Diapherotrites	14.320738292240424	true
Bacteria;Spirochaetes	0.005685302304344124	1.0	Spirochaetes	habitatSoil	habitatSoil	Bacteria	Spirochaetes	-0.0	false
Bacteria;Fusobacteria	0.005685302304344759	1.0	Fusobacteria	habitatSoil	habitatSoil	Bacteria	Fusobacteria	-0.0	false
Bacteria;Hydrogenedentes	0.005685302304344668	1.0	Hydrogenedentes	habitatSoil	habitatSoil	Bacteria	Hydrogenedentes	-0.0	false
Bacteria;Deferribacteres	0.005685302304344351	1.0	Deferribacteres	habitatSoil	habitatSoil	Bacteria	Deferribacteres	-0.0	false
Bacteria;Lentisphaerae	-0.3605187939183586	1.0	Lentisphaerae	habitatSoil	habitatSoil	Bacteria	Lentisphaerae	-0.0	false
