feature_id	avg_log_intensity	log2_fold_change	significance	label	contrast
Archaea;Pacearchaeota	1.5639870488438166	-2.3006173866430792	1.298493713650031e-8	Pacearchaeota	habitatSediment
Archaea;Euryarchaeota	1.8314879337446035	0.12931586528259786	1.0	Euryarchaeota	habitatSediment
Bacteria;Campilobacterota	2.2979692950031327	-2.146335072626905	0.011084144008038671	Campilobacterota	habitatSediment
Archaea;Diapherotrites	1.3889875546190558	-4.245827328859991	1.80494056461135e-28	Diapherotrites	habitatSediment
Bacteria;Spirochaetes	1.8705378493713796	4.158718828406971	2.5177369422833755e-87	Spirochaetes	habitatSediment
Bacteria;Fusobacteria	2.396710345262848	-1.0475652912399023	2.5565363384854867e-8	Fusobacteria	habitatSediment
Bacteria;Hydrogenedentes	1.6250435816501427	2.6942358353333686	1.3786415583500444e-53	Hydrogenedentes	habitatSediment
Bacteria;Deferribacteres	1.8088907540187364	3.117559593818399	8.314644845242984e-54	Deferribacteres	habitatSediment
Bacteria;Lentisphaerae	1.1772114095120447	-1.4137693874626054	0.0008617043488991709	Lentisphaerae	habitatSediment
Bacteria;Proteobacteria	4.413372115112167	-0.5541550532136895	0.005674397477213575	Proteobacteria	habitatSoil
Bacteria;	3.5194206478896923	-0.9375830304396131	0.01981487549229331	Unclassified	habitatSoil
Bacteria;Bacteroidetes	3.410470908403251	1.50145470588276	1.160555813712918e-6	Bacteroidetes	habitatSoil
Bacteria;Acidobacteria	3.3437616665483447	3.5288420988026172	5.950042250641033e-50	Acidobacteria	habitatSoil
Bacteria;Actinobacteria	3.0198899920298286	3.0895594887326023	4.480665056710125e-10	Actinobacteria	habitatSoil
Bacteria;Planctomycetes	2.4288444464051335	2.8269167032167943	1.9809010772149796e-9	Planctomycetes	habitatSoil
Archaea;Thaumarchaeota	3.2675795190774832	1.1326769311911322	0.00014726868254653666	Thaumarchaeota	habitatSoil
Bacteria;Firmicutes	3.1207687230134415	0.5453175556571165	0.09376173616167154	Firmicutes	habitatSoil
Bacteria;Chloroflexi	2.365659411601618	2.4043141242341135	0.00003475328114905811	Chloroflexi	habitatSoil
Bacteria;Ignavibacteriae	1.7916013958098154	-2.9927030277993736	1.4925027853564212e-9	Ignavibacteriae	habitatSoil
Bacteria;candidate_division_WPS-1	1.920408399249795	5.7795127101323365	1.0071260934482177e-202	candidate_division_WPS-1	habitatSoil
