sample_id	depth	iter	shannon	observed_features	faith_pd	group
SRR10070130	1	1	-0.0	1.0	0.2775501706101475	Riverwater
SRR10070130	1	2	-0.0	1.0	1.087047431606257	Riverwater
SRR10070130	1	3	-0.0	1.0	1.087047431606257	Riverwater
SRR10070130	1	4	-0.0	1.0	1.087047431606257	Riverwater
SRR10070130	1	5	-0.0	1.0	0.4313565693969923	Riverwater
SRR10070130	1	6	-0.0	1.0	0.4566573256379129	Riverwater
SRR10070130	1	7	-0.0	1.0	1.074857925053144	Riverwater
SRR10070130	1	8	-0.0	1.0	0.4489524154153535	Riverwater
SRR10070130	1	9	-0.0	1.0	1.083172158669799	Riverwater
SRR10070130	1	10	-0.0	1.0	0.2763828533281285	Riverwater
SRR10070130	302	1	5.4645010399881935	119.0	13.18011699457314	Riverwater
SRR10070130	302	2	5.638194279088345	119.0	12.53642541016894	Riverwater
SRR10070130	302	3	5.786250727196938	131.0	16.08403258164718	Riverwater
SRR10070130	302	4	5.816907643343733	125.0	14.51992352949678	Riverwater
SRR10070130	302	5	5.591827896344146	121.0	11.21150178974241	Riverwater
SRR10070130	302	6	5.775326346487195	130.0	14.36054836818733	Riverwater
SRR10070130	302	7	5.747552376078411	125.0	14.34780976019472	Riverwater
SRR10070130	302	8	5.773049667681416	128.0	14.14193614439664	Riverwater
SRR10070130	302	9	5.648341740866641	130.0	15.8698784016871	Riverwater
SRR10070130	302	10	5.899242963854432	137.0	14.58797034265545	Riverwater
SRR10070130	603	1	5.7338703067448	181.0	16.37552373322524	Riverwater
SRR10070130	603	2	5.996808589854755	188.0	17.22799478141175	Riverwater
SRR10070130	603	3	5.87171562643989	199.0	19.04509053681362	Riverwater
SRR10070130	603	4	6.079904852965785	212.0	20.12547795100176	Riverwater
SRR10070130	603	5	5.95317175298217	192.0	17.8097221508984	Riverwater
SRR10070130	603	6	6.023041789402509	203.0	20.59761840838569	Riverwater
SRR10070130	603	7	5.8775331680752805	194.0	19.14531951252146	Riverwater
SRR10070130	603	8	5.967255841006213	188.0	18.82019638505322	Riverwater
SRR10070130	603	9	5.921833747554921	190.0	19.00411361401992	Riverwater
SRR10070130	603	10	6.016644298732946	200.0	19.77417096866533	Riverwater
SRR10070130	904	1	5.976277374702335	242.0	22.95958798414948	Riverwater
SRR10070130	904	2	5.947980046389271	231.0	21.3139904648362	Riverwater
SRR10070130	904	3	5.971770142969468	242.0	21.32244958824047	Riverwater
SRR10070130	904	4	6.013098039758826	246.0	21.09969218282874	Riverwater
SRR10070130	904	5	6.1974209467174175	250.0	22.13705753677132	Riverwater
SRR10070130	904	6	6.057051425405869	249.0	20.82232125510361	Riverwater
SRR10070130	904	7	6.153992866136643	265.0	24.1619104525146	Riverwater
SRR10070130	904	8	6.245734552131778	263.0	22.74759789364661	Riverwater
SRR10070130	904	9	6.259261125182214	268.0	24.14528606687164	Riverwater
SRR10070130	904	10	5.820448320951908	223.0	19.83464716746788	Riverwater
SRR10070130	1205	1	6.093862238759448	293.0	26.42181759254182	Riverwater
SRR10070130	1205	2	6.261508262168826	313.0	27.06674707369793	Riverwater
SRR10070130	1205	3	6.29252753285232	301.0	26.23924451872437	Riverwater
SRR10070130	1205	4	6.146747747719744	288.0	23.78778463751507	Riverwater
SRR10070130	1205	5	6.100186648080554	295.0	27.17459900784479	Riverwater
SRR10070130	1205	6	6.128738138560132	289.0	25.39159134378437	Riverwater
SRR10070130	1205	7	6.095575952349612	290.0	25.11700775165581	Riverwater
SRR10070130	1205	8	5.986589167113049	285.0	24.9713439141225	Riverwater
SRR10070130	1205	9	6.106099170309551	290.0	25.37110024103424	Riverwater
SRR10070130	1205	10	6.118598376359056	293.0	25.72619875612249	Riverwater
SRR10070130	1507	1	6.176332574464371	326.0	28.91961523937929	Riverwater
SRR10070130	1507	2	6.176189162709832	326.0	27.36696127715278	Riverwater
SRR10070130	1507	3	6.247922110607044	331.0	27.94336758253341	Riverwater
SRR10070130	1507	4	6.26491282458553	349.0	29.62386007714095	Riverwater
SRR10070130	1507	5	6.167227456166848	309.0	27.24428129104401	Riverwater
SRR10070130	1507	6	6.185622727028516	331.0	28.77602224586822	Riverwater
SRR10070130	1507	7	6.129563882757489	335.0	28.24090981438597	Riverwater
SRR10070130	1507	8	6.311277189075901	340.0	27.8539060192678	Riverwater
SRR10070130	1507	9	6.330999837014756	348.0	29.95066639499876	Riverwater
SRR10070130	1507	10	6.299506713089777	333.0	27.80658349363833	Riverwater
SRR10070130	1808	1	6.354164088946597	358.0	30.80858892584199	Riverwater
SRR10070130	1808	2	6.413763433532523	367.0	31.02201936507121	Riverwater
SRR10070130	1808	3	6.321598682680665	370.0	30.64097510913182	Riverwater
SRR10070130	1808	4	6.2408940059498335	354.0	28.69743345272238	Riverwater
SRR10070130	1808	5	6.178099484500921	357.0	31.23148860004778	Riverwater
SRR10070130	1808	6	6.3379676215454825	363.0	29.28620871392046	Riverwater
SRR10070130	1808	7	6.219491855336868	369.0	29.76525989768556	Riverwater
SRR10070130	1808	8	6.182019542137054	352.0	28.67502328965606	Riverwater
SRR10070130	1808	9	6.340314166940545	368.0	31.08315361491539	Riverwater
SRR10070130	1808	10	6.365290131557807	383.0	32.77382373964165	Riverwater
SRR10070130	2109	1	6.393814413095695	396.0	32.03998991114127	Riverwater
SRR10070130	2109	2	6.200634926182138	383.0	32.89922069412066	Riverwater
SRR10070130	2109	3	6.276685035153975	395.0	33.05600267168958	Riverwater
SRR10070130	2109	4	6.313358888173638	404.0	32.47454551002392	Riverwater
SRR10070130	2109	5	6.173056846588056	381.0	30.84455737865293	Riverwater
SRR10070130	2109	6	6.317740900505291	415.0	32.37554338222105	Riverwater
SRR10070130	2109	7	6.220291645024812	379.0	31.61167383659377	Riverwater
SRR10070130	2109	8	6.439023748231527	409.0	33.42242069710831	Riverwater
SRR10070130	2109	9	6.158688135779523	381.0	31.48744442123702	Riverwater
SRR10070130	2109	10	6.349183409852562	402.0	32.71904006555739	Riverwater
SRR10070130	2410	1	6.434938795293182	417.0	33.25583508731997	Riverwater
SRR10070130	2410	2	6.364921807942969	418.0	33.70550125053909	Riverwater
SRR10070130	2410	3	6.244407416434013	406.0	32.9125463092396	Riverwater
SRR10070130	2410	4	6.344714116370059	409.0	32.22449793869363	Riverwater
SRR10070130	2410	5	6.242087625197533	401.0	33.24118313693738	Riverwater
SRR10070130	2410	6	6.385274113847937	418.0	34.62530828995807	Riverwater
SRR10070130	2410	7	6.280657546322636	410.0	33.2658372507288	Riverwater
