p_value	feature_id	category
4.1072475632356125e-14	Bacteria;Nitrospirae	habitatSoil
3.1140398401167517e-72	Archaea;Pacearchaeota	habitatSoil
2.2456346633793995e-14	Archaea;Euryarchaeota	habitatSoil
2.3462868561381336e-14	Bacteria;Campilobacterota	habitatSoil
2.171896007331415e-16	Archaea;Diapherotrites	habitatSoil
0.9756615115218411	Bacteria;Spirochaetes	habitatSoil
0.9756615115218383	Bacteria;Fusobacteria	habitatSoil
0.9756615115218387	Bacteria;Hydrogenedentes	habitatSoil
0.9756615115218401	Bacteria;Deferribacteres	habitatSoil
0.3418605959853349	Bacteria;Lentisphaerae	habitatSoil
