taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	confidence	label	dominant_habitat
0001d123420b59585627edf5a1292ae8	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga		0.98	Pseudomonadota	Rare
00139475ebeacb30221ab9d18ca5c8af	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	SCN-69-37	CAVXSP01		0.57	Acidobacteriota	Sediment
0032ab5da12fadd744023dc9bbba5169	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Casimicrobiaceae	PALSA-1005	PALSA-1005 sp016717855	0.89	Pseudomonadota	Soil
006e11b2ea1993fe60f255c75ff4ea39	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	UBA7239	UBA7239		0.92	Pseudomonadota	Riverwater
007978dab7aed7eb4d5ffff337638bd2	Bacteria	JAUVQV01	JAUVQV01	JAUVQV01	DATDCY01	DATDCY01	DATDCY01 sp963699775	1.0	JAUVQV01	Rare
008753a5f283aef90aca08baa41ca477	Bacteria	Acidobacteriota	UBA6911	UBA6911	UBA6911			1.0	Acidobacteriota	Sediment
0093efa2968345efef497cc1f61f701a	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae			0.75	Bacillota	Rare
00b3b2150e42e194ffe3b073aea99750	Bacteria	Desulfobacterota	Binatia	DP-6	DP-6	DATGIZ01	DATGIZ01 sp035295465	0.51	Desulfobacterota	Rare
00b7b809f5007592758c652e6c5611ee	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	CSP1-6	CAVWWD01	CAVWWD01 sp963758635	0.85	Methylomirabilota	Sediment
00c646b2f0844ad5c8e119500626882f	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	SCN-69-37	DASQFI01	DASQFI01 sp963780895	0.92	Acidobacteriota	Soil
00c7840bb74f3c51ae2b406a3b6baa42	Bacteria	Methylomirabilota	Methylomirabilia	Methylomirabilales	2-02-FULL-66-22	2-02-FULL-66-22	2-02-FULL-66-22 sp963845565	0.51	Methylomirabilota	Sediment
00c905253e84aab5042613bcc22d568c	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Ramlibacter		0.69	Pseudomonadota	Soil
00f22fe0aa7d9b976a6a884f493a1b75	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	Pseudorhodoplanes sp963707705	0.63	Pseudomonadota	Mixed
01049ed06541016700a76a558da23604	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium		0.67	Pseudomonadota	Soil
0118d57337bccab8f376ba2917c68eb5	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	JAKAGZ01		0.65	Bacteroidota	Groundwater
0120687216806e6cc98f80f2e7b76f24	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	ER46	ER46 sp036675625	0.87	Verrucomicrobiota	Soil
0120e49ae6ea4a9a8fde3869a578874f	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Casimicrobiaceae	VBCG01		0.84	Pseudomonadota	Rare
0145f532c68abb2c968c851d2c54c122	Bacteria	Desulfobacterota	Syntrophorhabdia	Syntrophorhabdales	WCHB1-27	JADGQN01	JADGQN01 sp963835605	0.76	Desulfobacterota	Sediment
