sample_id	taxon	rank	abundance	lineage	habitat
SRR10070132	Alphaproteobacteria	Class	0.025115128773665358	Bacteria;Bacteria;Pseudomonadota;Alphaproteobacteria	Groundwater
SRR10070132	JACRHJ01	Class	0.0	Bacteria;Bacteria;Nitrospirota;JACRHJ01	Groundwater
SRR10070132	GCA-002687715	Class	0.0	Bacteria;Bacteria;Planctomycetota;GCA-002687715	Groundwater
SRR10070132	Lokiarchaeia	Class	0.0	Archaea;Archaea;Asgardarchaeota;Lokiarchaeia	Groundwater
SRR10070132	FAC87	Class	0.0	Bacteria;Bacteria;Bdellovibrionota;FAC87	Groundwater
SRR10070132	QNDG01	Class	0.0	Bacteria;Bacteria;Zhuqueibacterota;QNDG01	Groundwater
SRR10070132	Rubrobacteria	Class	0.00029848200579907897	Bacteria;Bacteria;Actinomycetota;Rubrobacteria	Groundwater
SRR10070132	Methanobacteria	Class	0.0	Archaea;Archaea;Methanobacteriota;Methanobacteria	Groundwater
SRR10070132	ARS69	Class	0.0	Bacteria;Bacteria;ARS69;ARS69	Groundwater
SRR10070132	""	Class	0.0	Bacteria;Bacteria;Myxococcota_A;	Groundwater
SRR10070132	Desulfarculia	Class	0.0	Bacteria;Bacteria;Desulfobacterota;Desulfarculia	Groundwater
SRR10070132	JACPGU01	Class	0.0011939280231963159	Bacteria;Bacteria;Patescibacteriota;JACPGU01	Groundwater
SRR10070132	JAMCWD01	Class	0.0	Bacteria;Bacteria;Vulcanimicrobiota;JAMCWD01	Groundwater
SRR10070132	GWC2-55-46	Class	0.00034112229234180454	Bacteria;Bacteria;Desulfobacterota;GWC2-55-46	Groundwater
SRR10070132	JAAYUB01	Class	0.0	Bacteria;Bacteria;Acidobacteriota;JAAYUB01	Groundwater
SRR10070132	CALGFH01	Class	0.0	Bacteria;Bacteria;Actinomycetota;CALGFH01	Groundwater
SRR10070132	Hebobacteria	Class	0.0	Bacteria;Bacteria;Armatimonadota;Hebobacteria	Groundwater
SRR10070132	B15-G4	Class	0.0	Bacteria;Bacteria;Planctomycetota;B15-G4	Groundwater
SRR10070132	Desulfitobacteriia	Class	0.0	Bacteria;Bacteria;Bacillota;Desulfitobacteriia	Groundwater
SRR10070132	UBA7883	Class	0.0002558417192563534	Bacteria;Bacteria;Nitrospinota_A;UBA7883	Groundwater
SRR10070132	UBA8108	Class	0.0	Bacteria;Bacteria;Planctomycetota;UBA8108	Groundwater
SRR10070132	Aquicultoria	Class	0.0	Bacteria;Bacteria;Actinomycetota;Aquicultoria	Groundwater
SRR10070132	Desulfomonilia	Class	0.0	Bacteria;Bacteria;Desulfobacterota;Desulfomonilia	Groundwater
SRR10070132	Synergistia	Class	0.0	Bacteria;Bacteria;Synergistota;Synergistia	Groundwater
SRR10070132	""	Class	0.00029848200579907897	Archaea;Archaea;;	Groundwater
SRR10070132	WOR-1	Class	0.0005543237250554324	Bacteria;Bacteria;Margulisbacteria;WOR-1	Groundwater
SRR10070132	PLA2	Class	0.0	Bacteria;Bacteria;Planctomycetota;PLA2	Groundwater
SRR10070132	Calditrichia	Class	0.0	Bacteria;Bacteria;Calditrichota;Calditrichia	Groundwater
SRR10070132	""	Class	0.0002558417192563534	Bacteria;Bacteria;Patescibacteriota;	Groundwater
SRR10070132	UBA727	Class	0.0	Bacteria;Bacteria;Myxococcota;UBA727	Groundwater
SRR10070132	UBA1384	Class	0.00021320143271362784	Bacteria;Bacteria;Patescibacteriota;UBA1384	Groundwater
SRR10070132	Deferrimicrobia	Class	0.0	Bacteria;Bacteria;Desulfobacterota;Deferrimicrobia	Groundwater
SRR10070132	JAAXVQ01	Class	0.0	Bacteria;Bacteria;Oederibacteriota;JAAXVQ01	Groundwater
SRR10070132	Sumerlaeia	Class	0.0	Bacteria;Bacteria;Sumerlaeota;Sumerlaeia	Groundwater
SRR10070132	CADDZG01	Class	0.0	Bacteria;Bacteria;Actinomycetota;CADDZG01	Groundwater
SRR10070132	UBA11346	Class	0.0	Bacteria;Bacteria;Planctomycetota;UBA11346	Groundwater
SRR10070132	UBA4820	Class	0.0	Bacteria;Bacteria;Acidobacteriota;UBA4820	Groundwater
SRR10070132	""	Class	0.0	Bacteria;Bacteria;Desulfobacterota;	Groundwater
