sample	SRR10070130	SRR10070131	SRR10070132	SRR10070133	SRR10070134	SRR10070141	SRR10070149	SRR10070150	SRR10070151	SRR10102392	SRR10102393	SRR10102394
SRR10070130	0.0	0.013913978604243883	0.24582836653042744	0.28454380732652873	0.015503382659540103	0.28678310913458765	0.6552719702287247	0.6348844019730642	0.6361859545374609	0.6697507842099485	0.6844744694696908	0.6844132633298673
SRR10070131	0.013913978604243883	0.0	0.24641134012006596	0.28014010809952966	0.018532447135302933	0.2809964926933422	0.6623246173109733	0.6418573469085646	0.6368788981709984	0.6760223522852329	0.6907220618628356	0.6906608557230122
SRR10070132	0.24582836653042744	0.24641134012006596	0.0	0.09866635825834512	0.251070213244106	0.08497634936103018	0.6284143180187044	0.616324867638572	0.6289884385385665	0.6154451066599949	0.6066936356605387	0.6091241033752409
SRR10070133	0.28454380732652873	0.28014010809952966	0.09866635825834512	0.0	0.2877140008544471	0.07472966467806513	0.6338410447260604	0.6217515943459281	0.6287209641045608	0.6249205951787845	0.6160423936755656	0.6184020827768514
SRR10070134	0.015503382659540103	0.018532447135302933	0.251070213244106	0.2877140008544471	0.0	0.28876799774152984	0.6484551076937688	0.628008599635837	0.6273626041112422	0.666036763758197	0.6808699620170479	0.6808087558772243
SRR10070141	0.28678310913458765	0.2809964926933422	0.08497634936103018	0.07472966467806513	0.28876799774152984	0.0	0.6357922948224114	0.624953888754413	0.6272048339809697	0.6244825791844703	0.6201541919608042	0.6228516957750777
SRR10070149	0.6552719702287247	0.6623246173109733	0.6284143180187044	0.6338410447260604	0.6484551076937688	0.6357922948224114	0.0	0.033599342271689356	0.06390678258592858	0.40703103573564575	0.41368409444675736	0.41110076393809375
SRR10070150	0.6348844019730642	0.6418573469085646	0.616324867638572	0.6217515943459281	0.628008599635837	0.624953888754413	0.033599342271689356	0.0	0.04844638713035551	0.40958681354558385	0.4226959126660849	0.4199669354783356
SRR10070151	0.6361859545374609	0.6368788981709984	0.6289884385385665	0.6287209641045608	0.6273626041112422	0.6272048339809697	0.06390678258592858	0.04844638713035551	0.0	0.4359483151940844	0.450702093544123	0.44795680847991326
SRR10102392	0.6697507842099485	0.6760223522852329	0.6154451066599949	0.6249205951787845	0.666036763758197	0.6244825791844703	0.40703103573564575	0.40958681354558385	0.4359483151940844	0.0	0.06030500393862178	0.08030999313733979
SRR10102393	0.6844744694696908	0.6907220618628356	0.6066936356605387	0.6160423936755656	0.6808699620170479	0.6201541919608042	0.41368409444675736	0.4226959126660849	0.450702093544123	0.06030500393862178	0.0	0.04178962672865661
SRR10102394	0.6844132633298673	0.6906608557230122	0.6091241033752409	0.6184020827768514	0.6808087558772243	0.6228516957750777	0.41110076393809375	0.4199669354783356	0.44795680847991326	0.08030999313733979	0.04178962672865661	0.0
