sample_id	depth	iter	shannon	observed_features	faith_pd	name	habitat	Riv_vs_Gro	Sed_vs_Soil
SRR10070130	1507	6	6.371912870497707	328.0	27.98725405604582	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1507	7	6.296477511992201	330.0	26.73278098059182	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1507	8	6.288154714632979	342.0	28.72932329941121	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1507	9	6.225327341368249	335.0	29.06372223524928	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1507	10	6.277161443875809	339.0	30.53113760474978	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	1	6.371145754788668	374.0	31.47203359908239	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	2	6.33024160783173	367.0	31.35305178288503	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	3	6.369160940054275	371.0	29.67032332910151	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	4	6.341366612637893	360.0	31.53436300126217	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	5	6.436667325604293	383.0	32.87153159082196	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	6	6.394578816565887	372.0	30.28841061642791	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	7	6.418678107180926	375.0	33.5975258057974	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	8	6.219880172998093	353.0	30.61837905535534	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	9	6.282706795204953	371.0	32.39780603428866	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1808	10	6.355765394742094	376.0	32.25136079279491	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	1	6.463432218627292	412.0	33.20694458820238	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	2	6.529365110266248	413.0	33.93527951427279	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	3	6.369610072853598	395.0	32.3952340578765	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	4	6.351384623768056	399.0	32.77854758737303	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	5	6.486796282556565	413.0	33.40465738872044	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	6	6.26695419525012	385.0	31.51167517186655	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	7	6.404660851016076	412.0	34.94225019056758	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	8	6.378438676849982	405.0	33.52620668134367	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	9	6.488286804763368	413.0	33.85736656789186	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2109	10	6.376763962823918	398.0	32.77968702666602	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	1	6.481148717053471	420.0	33.97411561812066	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	2	6.396430525986815	423.0	34.49648550375822	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	3	6.426061089867789	413.0	33.09417560407456	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	4	6.405890790471144	419.0	33.77870741930764	SRR10070130-Riverwater	Riverwater	Riverwater	
