feature_id	avg_log_intensity	log2_fold_change	significance	label	contrast
Bacteria;Bacteria;Pseudomonadota	4.316422894771527	0.5243477919491043	0.024049847593641975	Pseudomonadota	habitatRiverwater
Bacteria;Bacteria;Planctomycetota	2.541826849677712	1.367379857905772	0.04066198946801929	Planctomycetota	habitatRiverwater
Bacteria;Bacteria;Acidobacteriota	3.3273156569031115	-0.46687766504542866	1.0	Acidobacteriota	habitatRiverwater
Bacteria;Bacteria;Actinomycetota	3.113260378675982	1.2903347801438327	0.05187612855716739	Actinomycetota	habitatRiverwater
Bacteria;Bacteria;Myxococcota_A	2.4355806888297096	2.0710441548708007	0.0012678511096656602	Myxococcota_A	habitatRiverwater
Bacteria;Bacteria;Bacteroidota	3.459169619993394	3.245097795760369	1.593006512764917e-33	Bacteroidota	habitatRiverwater
Bacteria;Bacteria;Verrucomicrobiota	3.1286150940216078	0.5908583304640542	0.2127774038956427	Verrucomicrobiota	habitatRiverwater
Bacteria;Bacteria;Methylomirabilota	2.4011323274359775	-2.112279154526143	0.024049847593641975	Methylomirabilota	habitatRiverwater
Bacteria;Bacteria;Fibrobacterota	1.7618040509968456	1.955672280246405	1.239893465947508e-31	Fibrobacterota	habitatRiverwater
Bacteria;Bacteria;Patescibacteriota	2.736500753212383	0.9357670089048193	1.7896031617805413e-12	Patescibacteriota	habitatRiverwater
;;	3.123899282678641	-1.408991934363243	1.7263113995551898e-7	Unclassified	habitatRiverwater
Bacteria;Bacteria;Chloroflexota	2.8855688022654604	-0.2202227756858872	1.0	Chloroflexota	habitatRiverwater
Bacteria;Bacteria;Bacillota	2.7600455076930897	0.6512583857233119	1.0	Bacillota	habitatRiverwater
Bacteria;Bacteria;Bdellovibrionota	2.195611523621605	0.9361380535048817	0.40097359232155694	Bdellovibrionota	habitatRiverwater
Archaea;Archaea;Halobacteriota	1.9539043301461678	0.00711814777320535	1.0	Halobacteriota	habitatRiverwater
Bacteria;Bacteria;	3.3556698937215472	1.0691976275129198	0.0002189168888278379	Unclassified	habitatRiverwater
Bacteria;Bacteria;Desulfobacterota	2.867814529843656	-0.05489371272356841	1.0	Desulfobacterota	habitatRiverwater
Bacteria;Bacteria;Elusimicrobiota	1.943325772374346	-2.8582789910256223	1.0070776205019101e-14	Elusimicrobiota	habitatRiverwater
Bacteria;Bacteria;Myxococcota	2.130780340413743	4.24060952393387	1.6342722699492892e-7	Myxococcota	habitatRiverwater
Bacteria;Bacteria;Nitrospirota	2.770558629649795	-2.569817346816663	4.755272818488887e-17	Nitrospirota	habitatRiverwater
Archaea;Archaea;Thermoproteota	2.88118846906723	-3.967995625438091	2.551222604857131e-50	Thermoproteota	habitatRiverwater
Bacteria;Bacteria;Bdellovibrionota_B	1.829929929538664	4.220687524752579	8.746840377673199e-153	Bdellovibrionota_B	habitatRiverwater
Bacteria;Bacteria;Omnitrophota	2.6651091912526685	-1.5857107450077672	0.00012235052463374738	Omnitrophota	habitatRiverwater
Bacteria;Bacteria;Campylobacterota	2.2979692950031327	2.6249079388556082	0.0001794430375015835	Campylobacterota	habitatRiverwater
