sample	depth	iter	faith_pd
SRR10070130	1	1	0.4976567928026143
SRR10070131	1	1	0.5942759764658931
SRR10070132	1	1	1.316715741174956
SRR10070133	1	1	1.316715741174956
SRR10070134	1	1	0.4251401254324412
SRR10070141	1	1	1.316715741174956
SRR10070149	1	1	0.5392036352410541
SRR10070150	1	1	0.7529856891475246
SRR10070151	1	1	0.4951881318748472
SRR10102392	1	1	0.4937064908444881
SRR10102393	1	1	0.5953583170763777
SRR10102394	1	1	1.225939964974418
SRR10070130	1	2	0.7757140925328332
SRR10070131	1	2	0.7757140925328332
SRR10070132	1	2	0.4238843809614061
SRR10070133	1	2	0.8148739535814711
SRR10070134	1	2	0.5942759764658931
SRR10070141	1	2	0.7283852254610137
SRR10070149	1	2	0.503559277037819
SRR10070150	1	2	0.6702512814127384
SRR10070151	1	2	0.4010363838739321
SRR10102392	1	2	0.8647129191538117
SRR10102393	1	2	0.5725631907686219
SRR10102394	1	2	0.6198239324718342
SRR10070130	1	3	0.5942759764658931
SRR10070131	1	3	0.4895450568175113
SRR10070132	1	3	0.4275851452140307
SRR10070133	1	3	1.312827893288264
SRR10070134	1	3	0.433790808412934
SRR10070141	1	3	0.4494955533288048
SRR10070149	1	3	0.7796186425709895
SRR10070150	1	3	0.503559277037819
SRR10070151	1	3	0.5799306801682813
SRR10102392	1	3	1.225939964974418
SRR10102393	1	3	0.7118026589030197
SRR10102394	1	3	0.6407908620882408
SRR10070130	1	4	0.5942759764658931
SRR10070131	1	4	0.6394039812672037
SRR10070132	1	4	0.5185686039969664
SRR10070133	1	4	0.4167297270531107
SRR10070134	1	4	0.4895450568175113
SRR10070141	1	4	0.4415810656894812
SRR10070149	1	4	0.5632798731722413
SRR10070150	1	4	0.5018733913286777
SRR10070151	1	4	0.4862303203541414
SRR10102392	1	4	1.229002889123474
SRR10102393	1	4	0.5862547445227011
SRR10102394	1	4	0.6724954580456122
SRR10070130	1	5	0.7357671333580837
SRR10070131	1	5	0.5942759764658931
SRR10070132	1	5	1.221099950373173
SRR10070133	1	5	0.5887392483360219
SRR10070134	1	5	0.4214115565351295
SRR10070141	1	5	0.4537515559873628
SRR10070149	1	5	0.4862303203541414
SRR10070150	1	5	0.565122240856168
SRR10070151	1	5	0.5820799593800476
SRR10102392	1	5	0.5953583170763777
SRR10102393	1	5	0.6189813347275557
SRR10102394	1	5	0.6682279738061605
SRR10070130	1	6	0.5572983449033546
SRR10070131	1	6	0.8334139760687576
SRR10070132	1	6	0.4095196242548154
SRR10070133	1	6	0.4494955533288048
SRR10070134	1	6	0.7757140925328332
SRR10070141	1	6	0.4415643034023962
SRR10070149	1	6	0.4386331493138895
SRR10070150	1	6	0.5454223127952118
SRR10070151	1	6	0.4437250143952296
SRR10102392	1	6	0.6730845225891371
SRR10102393	1	6	1.22832212619243
SRR10102394	1	6	0.6907234266316791
SRR10070130	1	7	0.4666302350698208
SRR10070131	1	7	0.7757140925328332
SRR10070132	1	7	0.5885665218694305
SRR10070133	1	7	0.9361063097067652
SRR10070134	1	7	0.5185686039969664
SRR10070141	1	7	0.5809643263392625
SRR10070149	1	7	0.7173318230068109
SRR10070150	1	7	0.7173318230068109
SRR10070151	1	7	0.7232207714566758
SRR10102392	1	7	1.207750197022611
SRR10102393	1	7	1.203753424674391
SRR10102394	1	7	0.5876506200862677
SRR10070130	1	8	0.4738596911632813
SRR10070131	1	8	0.5717095467027615
SRR10070132	1	8	0.4275851452140307
SRR10070133	1	8	1.243950251134773
SRR10070134	1	8	0.4167661541711167
SRR10070141	1	8	0.656178066331111
SRR10070149	1	8	0.7796186425709895
SRR10070150	1	8	0.6112553191475198
SRR10070151	1	8	0.518564308229712
SRR10102392	1	8	0.3839618682278489
SRR10102393	1	8	0.5746105057221009
SRR10102394	1	8	0.5914532763987408
SRR10070130	1	9	1.038585073416809
SRR10070131	1	9	0.4493338744317064
SRR10070132	1	9	0.4336759682590889
SRR10070133	1	9	0.4570606295354631
SRR10070134	1	9	0.5141736119751226
SRR10070141	1	9	0.4199358546803249
SRR10070149	1	9	0.4604566864947501
SRR10070150	1	9	0.4862303203541414
SRR10070151	1	9	0.5154353858075664
SRR10102392	1	9	0.6637660017632423
SRR10102393	1	9	0.7259615606196328
SRR10102394	1	9	0.981511508816491
SRR10070130	1	10	0.63673209573022
SRR10070131	1	10	0.63673209573022
SRR10070132	1	10	0.4557526906124876
SRR10070133	1	10	0.6315786557376013
SRR10070134	1	10	0.4433331938272986
SRR10070141	1	10	0.5976478355005383
SRR10070149	1	10	0.742862331272252
SRR10070150	1	10	0.6071107089435954
SRR10070151	1	10	0.5378511222531817
SRR10102392	1	10	0.7638338687293706
SRR10102393	1	10	0.5063688825872981
SRR10102394	1	10	0.6769459245177258
SRR10070130	302	1	14.2424583771161
SRR10070131	302	1	14.22231334496942
SRR10070132	302	1	12.59185146681327
SRR10070133	302	1	12.57879759754548
SRR10070134	302	1	14.8638409990366
SRR10070141	302	1	12.56250189608157
SRR10070149	302	1	21.46785313485039
SRR10070150	302	1	21.4509949932239
SRR10070151	302	1	19.91460607905622
SRR10102392	302	1	16.48025809161374
SRR10102393	302	1	15.95534131422111
SRR10102394	302	1	16.28508070978038
SRR10070130	302	2	12.60368511541588
SRR10070131	302	2	13.88067521437271
SRR10070132	302	2	12.5354316575808
SRR10070133	302	2	12.08010223303448
SRR10070134	302	2	14.6417640070736
SRR10070141	302	2	11.41549046015603
SRR10070149	302	2	22.53551933709803
