sample	n_reads	total_bases	total_gigabases	mean_read_length	median_read_length	read_length_n50	stdev_read_length	mean_read_quality	median_read_quality	longest_read_length	top_read_quality
A549_R1	2861374.0	2278212194.0	2.278212194	796.2	670.0	919.0	464.8	8.5	9.0	16679.0	13.1
A549_R2	1881992.0	2329334583.0	2.329334583	1237.7	945.0	1961.0	1211.1	6.4	7.1	196677.0	13.3
A549_R3	1158919.0	1041644829.0	1.041644829	898.8	711.0	1257.0	807.9	6.9	7.3	125828.0	14.0
K562_R1	1351376.0	1406446406.0	1.4064464060000001	1040.8	814.0	1326.0	724.6	8.5	9.0	10812.0	13.4
K562_R2	453065.0	544008719.0	0.544008719	1200.7	956.0	1400.0	839.5	7.7	7.6	24471.0	12.2
K562_R3	1920905.0	2296284055.0	2.296284055	1195.4	964.0	1402.0	832.6	8.2	8.1	28159.0	14.2
