sample	mirna	reads	cpm	log2_cpm	isomirs	reference_pct
c1	hsa-let-7a-5p	209679	81094.47117783243	16.307333728126174	749	64.81431139980637
c1	hsa-miR-181a-5p	335997	129948.63115685481	16.9875930133725	836	20.766852084988855
c1	hsa-miR-21-5p	7293	2820.6066334727457	11.462301157255286	138	43.45262580556698
c1	hsa-miR-26a-5p	148477	57424.271372293006	15.809398148854632	506	78.56166274911266
cc1	hsa-let-7a-5p	318984	48385.261868407935	15.562309866145334	1076	69.7987986858275
cc1	hsa-miR-181a-5p	881200	133665.30220462804	17.028276276667977	1551	46.36790739900136
cc1	hsa-miR-21-5p	39053	5923.775586696935	12.532544794607007	366	38.40678052902466
cc1	hsa-miR-26a-5p	433622	65774.18936969498	16.005255876529766	956	72.2110501773434
cpc1	hsa-let-7a-5p	496658	51473.03898808734	15.651557369777295	941	71.07707919735512
cpc1	hsa-miR-181a-5p	1246584	129194.46950200314	16.979195954363444	1442	45.32217644378558
cpc1	hsa-miR-21-5p	52122	5401.861518664933	12.399507989226784	377	36.510494608802425
cpc1	hsa-miR-26a-5p	708080	73384.56130110637	16.163208618525523	1037	76.45435544006327
pc1	hsa-let-7a-5p	152223	40353.07047889896	15.300426583747344	378	72.01934004716765
pc1	hsa-miR-181a-5p	557401	147762.43956569477	17.172929828616255	760	43.35998679586151
pc1	hsa-miR-21-5p	12545	3325.576746994787	11.699822602985035	133	42.24790753288163
pc1	hsa-miR-26a-5p	834566	221236.6108754445	17.75523714215672	633	84.71780542221946
