sample	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
GM12878_REP1	0.0	225.989634059211	652.453545966957	662.760134667253	576.302044558469	568.913320326824	598.801107378843	594.759657588137
GM12878_REP2	225.989634059211	0.0	650.423604438064	659.68172851579	580.839340152319	572.488310754123	601.089902565107	595.952711405617
H1_REP1	652.453545966957	650.423604438064	0.0	196.10244141138	671.525167028239	658.984497037906	527.067549921141	525.968988349804
H1_REP2	662.760134667253	659.68172851579	196.10244141138	0.0	680.515407099587	668.701803629801	546.811726631089	540.270620620108
K562_REP1	576.302044558469	580.839340152319	671.525167028239	680.515407099587	0.0	241.514004586268	610.12940284804	602.018173430155
K562_REP2	568.913320326824	572.488310754123	658.984497037906	668.701803629801	241.514004586268	0.0	597.331574529638	589.879277863218
MCF7_REP1	598.801107378843	601.089902565107	527.067549921141	546.811726631089	610.12940284804	597.331574529638	0.0	178.442593814356
MCF7_REP2	594.759657588137	595.952711405617	525.968988349804	540.270620620108	602.018173430155	589.879277863218	178.442593814356	0.0
