sample	auc	synthetic_auc	auc_ratio	x_intercept	synthetic_x_intercept	elbow_point	synthetic_elbow_point	synthetic_js_distance	js_distance	percent_genome_enriched	diff_enrichment	chance_divergence
EZH2_IP_NTKO_R1	0.3593085398475343	0.4977051377923968	0.7219305419294454	0.002854460177069539	0.0	0.5638344988861184	0.5041132837649006	0.21435600111019684	0.030238932766554795	34.311541408495614	6.497579283508836	0.05520523473153858
EZH2_IP_NTKO_R2	0.2910236672759344	0.4978050301016831	0.5846137537350498	0.00407430395460188	0.0	0.6218057279659515	0.49802233513076305	0.3182016316026108	0.06571623821843191	26.246231601347755	7.874415747854618	0.06691818107231737
EZH2_IP_TKO_R1	0.35221231424929117	0.49731937685638894	0.7082215788085	0.0042476252517665205	0.0	0.5647502498277241	0.5034483300859374	0.22162490992192888	0.01763128279686583	39.010349847444445	7.045832103356081	0.060327112301980484
EZH2_IP_TKO_R2	0.29108014745340544	0.4978294209952405	0.5846985637600319	0.0041381297515348985	0.0	0.6185539818693618	0.5021622433104189	0.3164898224811871	0.03828186031537438	31.425626703903184	5.608402349288988	0.048275792144450866
FOXA1_IP_E2_R1	0.1669322295151907	0.4902808609291947	0.3404828595568994	0.38716004668568677	6.001930549522223e-90	0.6931851865574864	0.49644248002471486	0.3361276027105036	0.09759060933870951	41.85524658194079	41.61129393102361	0.39939363682639867
FOXA1_IP_E2_R2	0.20910993659225008	0.49239724202362534	0.42467731080877363	0.20926635589746523	8.579675567440157e-148	0.6356612425048379	0.5040537028798883	0.35257774405403164	0.07688021092270256	36.481539737466754	25.732895865072237	0.23186226265152057
FOXA1_IP_VEH_R1	0.1556027799860972	0.489532646284101	0.31785986321286713	0.4318511258726875	2.122586202741469e-77	0.6070371580335644	0.4974017032515458	0.3330499994240092	0.07737511444121144	39.52908151536051	42.38495814340002	0.4095943621622966
FOXA1_IP_VEH_R2	0.17923134113700245	0.4912943378510716	0.3648145873631739	0.321644303638734	2.0886088461263775e-112	0.6692275113747406	0.49849328986076336	0.3506534871898848	0.08923344096524737	31.035592350117238	32.96492037880541	0.29163238296834537
INPUT_E2_R1	0.3030051771448319	0.4943715303694031	0.61290984316678	0.02391020415724925	6.610946330001928e-271	0.5929475897587906	0.501747983080147	0.28134513683093715				
INPUT_E2_R2	0.24540090349355415	0.4947686737370078	0.49599119046893414	0.07009466068006978	0.0	0.63233429614589	0.501062811678417	0.3528710181515008				
INPUT_NTKO_R1	0.37169555113145436	0.4980841853011759	0.7462504574536968	0.001485913715138604	0.0	0.5499054418544912	0.5014325231226872	0.19639595747109234				
INPUT_NTKO_R2	0.3249608382093238	0.4980762802921508	0.6524318685055939	0.0015760773186735237	0.0	0.5919334101791097	0.49833896106560477	0.26549494014792774				
INPUT_TKO_R1	0.3625474593289061	0.4979620574061078	0.7280624174810054	0.0014513273551940902	0.0	0.5639237687536975	0.5036764948243829	0.2090516522925826				
INPUT_TKO_R2	0.31232666847209506	0.49812795311489455	0.6270008870593458	0.0017332712724693574	0.0	0.6061041292639138	0.4995631881692186	0.28443883175273194				
INPUT_VEH_R1	0.27111756007411225	0.4946281653420093	0.5481239829653629	0.04091618570547025	1.4314434575873286e-297	0.6100306121214322	0.5094048642676279	0.3246472582375094				
INPUT_VEH_R2	0.277375209605159	0.49467714387554784	0.5607196795713322	0.0327862258575123	4.252018169649848e-303	0.6093217271150629	0.4981085952596577	0.3178021335376746				
