sample	total_reads	aligned_reads	unaligned_reads	ambiguous_reads	duplicate_reads	unique_reads	total_cs	methylated_cpg	unmethylated_cpg	methylated_chg	unmethylated_chg	methylated_chh	unmethylated_chh	cpgs_called	pct_aligned	pct_duplicate	pct_cpg_methylation	pct_chg_methylation	pct_chh_methylation	conversion_efficiency_pct	cell_line	treatment	group
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	10997339	9055201	1439671	502460	66725	8988476	271125431	10100984	1559476	278005	56264318	789763	202132885	11660460	82.33992786800516	0.7368693417186432	86.62594786140512	0.49167594334601356	0.38919411301985374	99.61080588698015	MShef11	low_oxygen	MShef11
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	10202147	8424466	1325105	452574	62024	8362442	251831381	9149421	1329788	385987	51118282	787707	189060196	10479209	82.5754226046733	0.7362365757069943	87.31022541873152	0.7494271979668325	0.4149147752240382	99.58508522477597	MShef11	low_oxygen	MShef11
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	27642107	22345272	3921054	1375761	161092	22184180	764948847	29108239	4488066	1009159	162739915	2352506	565250962	33596305	80.83780299381664	0.7209220814139116	86.64119164295002	0.616283790404824	0.41446293629763375	99.58553706370236	MShef11	low_oxygen	MShef11
SRR7961150_GSM3415714_MShef4_bulk	179412149	138408789	31976733	9026525	50498994	87909795	3211553631	160349849	34354970	13471270	761926925	17844097	2223606520	194704819	77.14571714984586	36.48539544696111	82.35535711111496	1.7373357439915114	0.7960959239817149	99.20390407601829	MShef4	bulk	MShef4
SRR7961161_GSM3415725_MShef4_J1	36566036	29660706	5219276	1686024	215715	29444991	1063046680	39926861	7150664	3872382	221926077	5752259	784418437	47077525	81.11545369588326	0.7272753386247786	84.81087525310645	1.7149727315012366	0.727976756050189	99.27202324394982	MShef4	J	MShef4
SRR7961163_GSM3415727_MShef4_J2	14456994	11811141	2020284	625559	84461	11726680	366631688	13456556	2040394	1449909	73701772	2252448	273730609	15496950	81.69845681612651	0.71509602670902	86.8335769296539	1.9293101374538781	0.8161544496552191	99.18384555034478	MShef4	J	MShef4
SRR7961164_GSM3415728_MShef4_J3	19356487	15743960	2755344	857168	120473	15623487	487330483	18282658	2815193	2050422	98669379	3138552	362374279	21097851	81.33686655021647	0.7652013851661209	86.65649406662318	2.0357685178508245	0.8586708136656357	99.14132918633436	MShef4	J	MShef4
