sample	total_alignments	duplicates_removed	pct_duplication	leftover_sequences
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	9055201	66725	0.74	8988476
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	8424466	62024	0.74	8362442
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	22345272	161092	0.72	22184180
SRR7961150_GSM3415714_MShef4_bulk	138408789	50498994	36.49	87909795
SRR7961161_GSM3415725_MShef4_J1	29660706	215715	0.73	29444991
SRR7961163_GSM3415727_MShef4_J2	11811141	84461	0.72	11726680
SRR7961164_GSM3415728_MShef4_J3	15743960	120473	0.77	15623487
