sample_id	dim_1	dim_2	habitat
SRR10070130	-0.29284067437360967	0.09062725048388537	Riverwater
SRR10070131	-0.29874197458904067	0.08832443105405614	Riverwater
SRR10070132	-0.17303602632791135	0.049396861779655424	Groundwater
SRR10070133	-0.1442677332059029	0.006206455746982676	Groundwater
SRR10070134	-0.2926114252798196	0.08744256790844519	Riverwater
SRR10070141	-0.14987698688689058	0.02828075881505167	Groundwater
SRR10070149	0.09245112492733183	-0.227643863877379	Sediment
SRR10070150	0.07042467402459739	-0.2400404568692651	Sediment
SRR10070151	0.04105898999508829	-0.2497454459045341	Sediment
SRR10102392	0.37086010096425565	0.12404387819224681	Soil
SRR10102393	0.38816239655265217	0.12326613042000659	Soil
SRR10102394	0.388417534199249	0.11984143225084838	Soil
