taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	confidence	label	dominant_habitat
6d9ab19ec3873b86a01f51e0c558811f	Bacteria							0.9999999999980063	6d9ab19e	Sediment
0c6f38845415dd12d7c658693393b02e	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	lovleyi	0.9484518644227514	Proteobacteria	Sediment
da8d956ba3a63e19735c5c55ceaa06f3	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X			0.9999999816422334	Crenarchaeota	Groundwater
19134cd91473a8716af2fea6515a38ad	Bacteria	TM7	TM7-1					0.9997993982733184	TM7	Groundwater
0dfa02006f244358216a64cb34291c06	Archaea	[Parvarchaeota]	[Parvarchaea]	YLA114				0.9999998786228093	[Parvarchaeota]	Groundwater
bab363500a22b708519a7f2a5cf7afb8	Bacteria	Actinobacteria	Thermoleophilia					0.9918943073702335	Actinobacteria	Soil
da7e5a2daf52cff6f4d0c53b39c7b881	Bacteria							0.9877186090740148	da7e5a2d	Sediment
3970be7a859a5f8d7a3f94ed5c4b5bf6	Bacteria	Acidobacteria						0.9996654239466279	Acidobacteria	Soil
ddfd49f939f92958b1ec816741055348	Bacteria	Proteobacteria	Betaproteobacteria					0.9999978795145342	Proteobacteria	Groundwater
a251ae02db5ed074ffc3acb72d5fbe33	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales				0.7306767075120638	Actinobacteria	Soil
68616f5cb18515f59d4ed5daae161647	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X			0.9999998937721329	Crenarchaeota	Groundwater
e7c2c171be5ef785791bb5a3a49fb3b5	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae			0.9999973211855815	Actinobacteria	Soil
8be7e334c9722503e0c2e8d00b3da6c2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium		0.8588999690519338	Proteobacteria	Soil
00c905253e84aab5042613bcc22d568c	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			0.9999971429456992	Proteobacteria	Soil
edcaa40561201bec5ec3375763d60c3c	Bacteria	Acidobacteria	[Chloracidobacteria]	RB41				0.9999999992866009	Acidobacteria	Soil
2e4a2e5ad75f2d321aadefddacb2fca7	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae			0.9997816255781957	Proteobacteria	Mixed
945184b6386c192c0066e0a98a154780	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0.7447522840113197	Proteobacteria	Riverwater
6187dce460402a8d8434f8b91ffef847	Bacteria	Proteobacteria	Deltaproteobacteria	BPC076				0.9999999968629822	Proteobacteria	Sediment
c85d1b78dc8077b2d72f6ffe73fd4783	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae			0.9999999997739621	Actinobacteria	Soil
b075d66242bef874f6830847d870fa3b	Bacteria	Verrucomicrobia	[Pedosphaerae]					0.9930573201734615	Verrucomicrobia	Soil
6a769797fcbc4439c30ebf179820bc0e	Bacteria	Acidobacteria						0.9997233991232692	Acidobacteria	Mixed
384cc1ed47f9717cbaf2e9985e2576dc	Bacteria							0.9999999999899668	384cc1ed	Sediment
d47d8079ce4160fc003bde985b2fba98	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				0.9996729939067186	Bacteroidetes	Sediment
f6be1fbaaae460e16e2d80bd89d8d52f	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae			0.7875246477496444	Proteobacteria	Soil
8deef9189de6581ba15e55393911e764	Bacteria	OP3	koll11	GIF10				0.9999985625386316	OP3	Groundwater
3499301999c7459b732b96989a50e14e	Bacteria	Proteobacteria	Gammaproteobacteria					0.7451037308536225	Proteobacteria	Sediment
cb154d17d243f197a2d214edab58d466	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales				0.984006692888074	Proteobacteria	Mixed
c5faad2ed5cf801dd070d0f3c7f6fbda	Bacteria	Proteobacteria	Betaproteobacteria					0.9982090824807325	Proteobacteria	Sediment
cd8968015f95b0ed129265710f5bff69	Bacteria	WS3	PRR-12					0.9772453486958335	WS3	Sediment
ed162f239f7757cb436d4527f9b3b892	Bacteria	Acidobacteria	[Chloracidobacteria]	11-24				0.9999999995826272	Acidobacteria	Sediment
be06a035c155a65f5989a74fa780eaeb	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae			0.984867765041826	Proteobacteria	Sediment
de31bb03f3d7398695aa04e993a77e12	Bacteria	Acidobacteria						0.9882834102870924	Acidobacteria	Soil
5a5bf8c8dbcd07c375f0c552b7924940	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j				0.7142152297546994	Proteobacteria	Sediment
12e5ea96b2b4f0557abcb459f181397a	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		0.942868082731198	Firmicutes	Soil
79c18ec88e3d4a3650837e44dadbdeef	Bacteria	Acidobacteria	iii1-8	32-20				0.9999896914831498	Acidobacteria	Soil
da7796a3b17d6012dacdb213d5b29a71	Bacteria	Acidobacteria						0.9912848789000341	Acidobacteria	Soil
88524108706087f7c75e79d6c10c9c61	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		0.999999999873026	Bacteroidetes	Riverwater
1fe1126e2ca14f94416175ee89161fbf	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales				0.7026424510054863	Proteobacteria	Riverwater
c63a29416a7eabd7ff67a49489118771	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae			0.7550717640075393	Proteobacteria	Soil
f8d5da6fcc5a8ae0ead5767990215273	Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae			0.8406401912110404	Proteobacteria	Sediment
858603b5b6c7332924623a52faa10212	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		0.8365331497805527	Firmicutes	Mixed
81b13ad4e323d085bb84c456a322244c	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]				0.9999412375750181	Verrucomicrobia	Sediment
ffa8507a36089b4d55af94c9650bd1d0	Bacteria							0.999999999998763	ffa8507a	Sediment
77c728b51dd512851473bf18a399ecf6	Bacteria	Acidobacteria						0.9999063493363435	Acidobacteria	Soil
e5584a38336b44ee9c9c098a6a7864a2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae			0.7262268447620231	Proteobacteria	Sediment
6dd01fba72a0f2aa74d5ec1a9e3f7a0f	Bacteria	Proteobacteria	Deltaproteobacteria					0.7912934395746725	Proteobacteria	Sediment
7b90af4e15b0f783e35e50459619b7b9	Bacteria	Chloroflexi	Anaerolineae	GCA004				0.8729641684015788	Chloroflexi	Sediment
8abb8b060815f2342769fd49c129edc4	Bacteria							0.9999999978086693	8abb8b06	Mixed
f7f89283e208e3a486e0cc7dcc427ea5	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella		0.9999995201145723	Proteobacteria	Groundwater
e4e75c23006b45d1603e84601070f3a7	Bacteria	TM7	TM7-3	CW040				0.723822433192494	TM7	Riverwater
8dbc7a78a606f5f7a8173e12ce6d3664	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae			0.9999495963800736	Actinobacteria	Soil
1566ad4c9890e437c5684c68a982f353	Bacteria	Chloroflexi	Anaerolineae					0.9423427400990081	Chloroflexi	Sediment
706b44e953b466b3af2456b68a47bf5c	Bacteria	Proteobacteria	Deltaproteobacteria					0.9696570781116935	Proteobacteria	Sediment
f585a975f3f8eb6fa17ee68e67964c97	Bacteria	Proteobacteria	Deltaproteobacteria					0.7500313553412499	Proteobacteria	Sediment
2540a4080d9bcabb518e3d6be4419893	Bacteria	Acidobacteria	[Chloracidobacteria]	RB41				0.9999999897818554	Acidobacteria	Soil
c856e83fd500753d3d6723ca0ce6be7a	Bacteria	Acidobacteria	Acidobacteria-6	iii1-15				0.9848234566463511	Acidobacteria	Soil
d6122a0717877cf7fa6bac67db2742b8	Bacteria	Proteobacteria	Betaproteobacteria					0.8084061630295614	Proteobacteria	Riverwater
96fa8e5503cc535f3cd96c644a76abef	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira		0.9998199052356018	Nitrospirae	No abundance
