sample_id	rank	taxon	abundance	lineage	habitat
SRR10070131	Genus	""	0.03545575194546661	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;	Riverwater
SRR10070131	Genus	Agitococcus	0.03185136031851361	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Agitococcus	Riverwater
SRR10070131	Genus	""	0.02823188755504615	Bacteria;Candidatus_Saccharibacteria;;;;	Riverwater
SRR10070131	Genus	""	0.027100802316462568	Bacteria;;;;;	Riverwater
SRR10070131	Genus	Rhodoferax	0.024265548651746394	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax	Riverwater
SRR10070131	Kingdom	Bacteria	0.9928967847016953	Bacteria	Riverwater
SRR10070131	Kingdom	Archaea	0.00710321529830488	Archaea	Riverwater
SRR10070131	Order	Burkholderiales	0.3796525306147071	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	Riverwater
SRR10070131	Order	Flavobacteriales	0.203550099535501	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales	Riverwater
SRR10070131	Order	Pseudomonadales	0.06961452615069072	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Riverwater
SRR10070131	Order	""	0.02823188755504615	Bacteria;Candidatus_Saccharibacteria;;	Riverwater
SRR10070131	Order	""	0.027100802316462568	Bacteria;;;	Riverwater
SRR10070131	Order	Aeromonadales	0.025200579115642156	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales	Riverwater
SRR10070131	Order	Campylobacterales	0.024220305242203054	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales	Riverwater
SRR10070131	Phylum	Proteobacteria	0.6467545394220908	Bacteria;Proteobacteria	Riverwater
SRR10070131	Phylum	Bacteroidetes	0.22442239247149665	Bacteria;Bacteroidetes	Riverwater
SRR10070131	Phylum	Candidatus_Saccharibacteria	0.02823188755504615	Bacteria;Candidatus_Saccharibacteria	Riverwater
SRR10070131	Phylum	""	0.027100802316462568	Bacteria;	Riverwater
SRR10070131	Phylum	Campilobacterota	0.024220305242203054	Bacteria;Campilobacterota	Riverwater
SRR10070131	Phylum	Verrucomicrobia	0.009440791458044278	Bacteria;Verrucomicrobia	Riverwater
SRR10070131	Phylum	Firmicutes	0.008928032816553055	Bacteria;Firmicutes	Riverwater
SRR10070132	Class	Betaproteobacteria	0.3504178748081187	Bacteria;Proteobacteria;Betaproteobacteria	Groundwater
SRR10070132	Class	Gammaproteobacteria	0.2946443800102337	Bacteria;Proteobacteria;Gammaproteobacteria	Groundwater
SRR10070132	Class	""	0.0787139689578714	Bacteria;;	Groundwater
SRR10070132	Class	Nitrosopumilales	0.07410881801125703	Archaea;Thaumarchaeota;Nitrosopumilales	Groundwater
SRR10070132	Class	Alphaproteobacteria	0.02336687702541361	Bacteria;Proteobacteria;Alphaproteobacteria	Groundwater
SRR10070132	Class	""	0.018122121780658366	Bacteria;Candidatus_Saccharibacteria;	Groundwater
SRR10070132	Class	Nitrososphaerales	0.017951560634487464	Archaea;Thaumarchaeota;Nitrososphaerales	Groundwater
