sample	SRR10070130	SRR10070131	SRR10070132	SRR10070133	SRR10070134	SRR10070141	SRR10070149	SRR10070150	SRR10070151	SRR10102392	SRR10102393	SRR10102394
SRR10070130	0.0	0.010829732054597616	0.2391829342468938	0.27761339435177024	0.010932616111338844	0.242641225598105	0.5080070281613313	0.4958847785112023	0.4758312929626915	0.6676331883633474	0.6865087142584575	0.6873107626097572
SRR10070131	0.010829732054597616	0.0	0.23983041898622848	0.2764703365214976	0.010323040736835515	0.24335191405096981	0.5104072550600681	0.4982990616654837	0.47824557611697277	0.6722683327435091	0.6923847465513001	0.6936000555160549
SRR10070132	0.2391829342468938	0.23983041898622848	0.0	0.09223456734916186	0.2387561164439632	0.0638335309909005	0.39610490363175443	0.4023551406103447	0.4129358936468037	0.5729840630129095	0.580224302691203	0.5797783554502856
SRR10070133	0.27761339435177024	0.2764703365214976	0.09223456734916186	0.0	0.2743474452173686	0.0560133576826903	0.357216797415823	0.3634670343944133	0.36721877792313473	0.556446886948825	0.5636871266271183	0.5619873636906446
SRR10070134	0.010932616111338844	0.010323040736835515	0.2387561164439632	0.2743474452173686	0.0	0.24160546022128065	0.505640529466436	0.4934937648946911	0.4734402793461802	0.6664817588472933	0.6865981726550844	0.687813481619839
SRR10070141	0.242641225598105	0.24335191405096981	0.0638335309909005	0.0560133576826903	0.24160546022128065	0.0	0.3627036338907311	0.36895387086932147	0.3743338720136753	0.54894782790347	0.557123075531582	0.5567117855709258
SRR10070149	0.5080070281613313	0.5104072550600681	0.39610490363175443	0.357216797415823	0.505640529466436	0.3627036338907311	0.0	0.038106743207747026	0.06507925792897054	0.44971109842447954	0.4595243672834316	0.4573123343360121
SRR10070150	0.4958847785112023	0.4982990616654837	0.4023551406103447	0.3634670343944133	0.4934937648946911	0.36895387086932147	0.038106743207747026	0.0	0.04797072603417536	0.4739927598815523	0.4838060287405045	0.4819593475663053
SRR10070151	0.4758312929626915	0.47824557611697277	0.4129358936468037	0.36721877792313473	0.4734402793461802	0.3743338720136753	0.06507925792897054	0.04797072603417536	0.0	0.5005125470483478	0.5112210928161474	0.5106104113166299
SRR10102392	0.6676331883633474	0.6722683327435091	0.5729840630129095	0.556446886948825	0.6664817588472933	0.54894782790347	0.44971109842447954	0.4739927598815523	0.5005125470483478	0.0	0.05849987459902558	0.07500906578228299
SRR10102393	0.6865087142584575	0.6923847465513001	0.580224302691203	0.5636871266271183	0.6865981726550844	0.557123075531582	0.4595243672834316	0.4838060287405045	0.5112210928161474	0.05849987459902558	0.0	0.04126648912619672
SRR10102394	0.6873107626097572	0.6936000555160549	0.5797783554502856	0.5619873636906446	0.687813481619839	0.5567117855709258	0.4573123343360121	0.4819593475663053	0.5106104113166299	0.07500906578228299	0.04126648912619672	0.0
