sample	depth	iter	faith_pd
SRR10070130	1	1	0.2775501706101475
SRR10070131	1	1	0.4325089892824909
SRR10070132	1	1	1.276045620196888
SRR10070133	1	1	0.3185580520063267
SRR10070134	1	1	0.4470603667943451
SRR10070141	1	1	1.356695370626365
SRR10070149	1	1	0.3484864635217257
SRR10070150	1	1	0.1498812444042414
SRR10070151	1	1	0.4033709893107043
SRR10102392	1	1	1.251228489889611
SRR10102393	1	1	0.3441930608765307
SRR10102394	1	1	0.3752417925279588
SRR10070130	1	2	1.087047431606257
SRR10070131	1	2	0.7124439863196659
SRR10070132	1	2	0.2885050936066089
SRR10070133	1	2	0.3357894567876683
SRR10070134	1	2	0.316798725631088
SRR10070141	1	2	0.460770258725228
SRR10070149	1	2	0.4077911184750667
SRR10070150	1	2	0.3776036759197035
SRR10070151	1	2	0.5233475930265339
SRR10102392	1	2	0.2961164722612941
SRR10102393	1	2	0.3170302333762667
SRR10102394	1	2	0.3606607590101998
SRR10070130	1	3	1.087047431606257
SRR10070131	1	3	0.3518319719005376
SRR10070132	1	3	0.4683336986668003
SRR10070133	1	3	0.460770258725228
SRR10070134	1	3	0.3492595697217165
SRR10070141	1	3	0.460770258725228
